Variable,Non-missing Count,Missing (%),Mean,Std,Min,Max
Date,140,0.0,,,,
Sleep score,140,0.0,72.00714285714285,15.395737253894527,25.0,94.0
Resting heart rate,140,0.0,58.785714285714285,2.7583378226169732,52.0,64.0
Body Battery,140,0.0,49.27857142857143,14.850970879844791,7.0,87.0
Breaths per minute (during sleep),140,0.0,12.65,0.6561825504905973,11.0,15.0
HRV-status,140,0.0,33.292857142857144,2.494588181498572,28.0,40.0
Deep sleep (mins),140,0.0,64.55,18.96203135461824,20.0,111.0
REM sleep (mins),140,0.0,79.49285714285715,42.63370781597255,0.0,240.0
Restless moments,140,0.0,47.09285714285714,8.358768650988013,14.0,72.0
Duration (mins),140,0.0,477.65,86.21663571133644,186.0,843.0
Bed-time,140,0.0,,,,
Wakeup-time,140,0.0,,,,
Steps,140,0.0,10325.457142857143,4848.389748815934,2447.0,45992.0
Calories,140,0.0,3289.407142857143,556.8355852613595,2387.0,6087.0
Weight (in kilograms),140,0.0,80.80607142857143,2.262650033636967,75.5,84.0
Max HR,140,0.0,142.28571428571428,18.819967092336505,101.0,198.0
Run (kms),140,0.0,0.9440714285714285,2.1890153814409334,0.0,10.01
Ride (kms),140,0.0,8.423642857142857,11.115797832556384,0.0,74.13
Minutes intense exercise,140,0.0,91.52142857142857,75.03049431451981,0.0,339.0
AvgTemp_C,140,0.0,7.795714285714286,4.9779495277186045,-1.5,19.5
MinTemp_C,140,0.0,3.75,4.268211088884965,-5.0,13.0
MaxTemp_C,140,0.0,11.75,6.060990967720655,0.0,27.0
Sunrise,140,0.0,,,,
Sunset,140,0.0,,,,
Humidity_Max,140,0.0,93.18571428571428,9.26087594275685,60.0,100.0
Humidity_Avg,140,0.0,76.85714285714286,13.107783084469965,41.3,100.0
Humidity_Min,140,0.0,58.871428571428574,17.577308318644075,24.0,100.0
WindSpeed_Max,140,0.0,24.307142857142857,8.672205189981545,9.0,67.0
WindSpeed_Avg,140,0.0,14.995000000000001,6.382409785986715,4.0,42.3
WindSpeed_Min,140,0.0,6.25,5.80761717627695,0.0,28.0
Pressure_Max,140,0.0,1021.2571428571429,10.124314652048781,990.5,1044.5
Pressure_Avg,140,0.0,1018.0157142857144,10.943322075461202,983.2,1042.2
Pressure_Min,140,0.0,1015.2678571428571,11.540889258264778,974.5,1038.5
Precipitation_mm,140,0.0,0.9214285714285714,2.8724137122687603,0.0,21.2
